Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid Location
0023918a32baa84c59a60ec6acd38ef8d8876a55,01/01/2022 12:00:00 AM,01/01/2022 12:45:00 AM,2123,27.8,,,8,,37.5,0,7.91,45.41,false,1,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),,,
0031f13d0144700e8132ec4ced74bf91b604bafd,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,308,1.4,17031071400,17031080400,7,8,5,0,3.75,8.75,false,1,41.922082541,-87.6341560931,POINT (-87.6341560931 41.922082541),41.9074128162,-87.6409015248,POINT (-87.6409015248 41.9074128162)
003b7701b5658afe3415169d091130f15c2d8434,01/01/2022 12:00:00 AM,01/01/2022 12:15:00 AM,830,3.6,17031080300,17031221400,8,22,10,0,1.02,11.02,false,1,41.9074919303,-87.6357600901,POINT (-87.6357600901 41.9074919303),41.9208017043,-87.6945323419,POINT (-87.6945323419 41.9208017043)
003c710f7464bf348349ec4436fea275b97300bd,01/01/2022 12:00:00 AM,01/01/2022 12:15:00 AM,862,4.7,17031222200,17031081800,22,8,10,0,3.74,13.74,false,1,41.9159097884,-87.6838259399,POINT (-87.6838259399 41.9159097884),41.8932163595,-87.6378442095,POINT (-87.6378442095 41.8932163595)
0066f1154bb7dc467b2d8ce59e8def475a428557,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,471,0.7,17031081600,17031081800,8,8,2.5,0,2.36,4.859999999999999,false,1,41.8920726347,-87.6288741572,POINT (-87.6288741572 41.8920726347),41.8932163595,-87.6378442095,POINT (-87.6378442095 41.8932163595)
00ac5c7ec5b5540a83e5f60cd19f721ec46256f2,01/01/2022 12:00:00 AM,01/01/2022 12:15:00 AM,1057,1.0,17031320100,17031839100,32,32,10,0,2.87,12.870000000000001,false,1,41.8849871918,-87.6209929134,POINT (-87.6209929134 41.8849871918),41.8809944707,-87.6327464887,POINT (-87.6327464887 41.8809944707)
00b6c6407848e8f78a989a1b210309450c65fe8f,01/01/2022 12:00:00 AM,01/01/2022 12:30:00 AM,1332,6.7,17031830900,17031010201,22,1,15,0,3.34,18.34,false,1,41.9286190509,-87.685362024,POINT (-87.685362024 41.9286190509),42.0160105638,-87.680162272,POINT (-87.680162272 42.0160105638)
01257dfa064e41843dd90d93c437d9fea037ef40,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,212,0.7,17031833000,17031833000,28,28,5,0,3.22,8.22,false,1,41.8852813201,-87.6572331997,POINT (-87.6572331997 41.8852813201),41.8852813201,-87.6572331997,POINT (-87.6572331997 41.8852813201)
01345804c5bd6c0101bcb26a14d776d569edf97d,01/01/2022 12:00:00 AM,01/01/2022 12:15:00 AM,962,5.2,,,23,18,12.5,0,1.02,13.52,false,1,41.9000696026,-87.7209182385,POINT (-87.7209182385 41.9000696026),41.9292973683,-87.7980321814,POINT (-87.7980321814 41.9292973683)
01683d623032683e9fcca03967dd2faeaf1141a7,01/01/2022 12:00:00 AM,01/01/2022 12:30:00 AM,1667,22.3,,,8,,32.5,0,1.02,33.52,false,1,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),,,
019e6ffd2756162afe4a35da65b3a90e6a955e23,01/01/2022 12:00:00 AM,01/01/2022 12:15:00 AM,472,2.4,,,25,25,5,0,2.44,7.44,false,1,41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526),41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526)
